model,perturbation,level,mean_accuracy,std_accuracy
topk,feat_noise,0.43333333333333335,0.381578947368421,0.05360933891437726
topk,feat_noise,0.4666666666666667,0.37105263157894736,0.04773251880846594
topk,feat_noise,0.5,0.38421052631578945,0.050207326390365556
sag,feat_noise,0.0,0.7368421052631577,1.1102230246251565e-16
sag,feat_noise,0.03333333333333333,0.7249999999999999,0.013091939961929195
sag,feat_noise,0.06666666666666667,0.7552631578947369,0.03822589222719462
sag,feat_noise,0.1,0.7026315789473685,0.03339099352749871
sag,feat_noise,0.13333333333333333,0.6894736842105265,0.056195148694901643
sag,feat_noise,0.16666666666666666,0.6342105263157894,0.06857270642523886
sag,feat_noise,0.2,0.5736842105263158,0.04210526315789472
sag,feat_noise,0.23333333333333334,0.5355263157894737,0.059589430916969756
sag,feat_noise,0.26666666666666666,0.47631578947368425,0.07712816257764656
sag,feat_noise,0.3,0.468421052631579,0.054948981625845
sag,feat_noise,0.3333333333333333,0.44210526315789467,0.05494898162584499
sag,feat_noise,0.36666666666666664,0.4342105263157895,0.04034134135988391
sag,feat_noise,0.4,0.4171052631578947,0.05215242416475371
sag,feat_noise,0.43333333333333335,0.38552631578947366,0.042656750203808755
sag,feat_noise,0.4666666666666667,0.4052631578947368,0.036653653361010834
sag,feat_noise,0.5,0.40657894736842104,0.048147827535610484
global,feat_noise,0.0,0.6578947368421055,2.220446049250313e-16
